,zip,percentInsured
0,60601,95
1,60602,99
2,60603,93
3,60604,100
4,60605,96
5,60606,98
6,60607,96
7,60608,81
8,60609,81
9,60610,95
10,60611,96
11,60612,88
12,60613,93
13,60614,96
14,60615,92
15,60616,88
16,60617,89
17,60618,84
18,60619,88
19,60620,88
20,60621,86
21,60622,92
22,60623,76
23,60624,84
24,60625,83
25,60626,86
26,60628,89
27,60629,82
28,60630,89
29,60631,95
30,60632,78
31,60633,89
32,60634,86
33,60636,84
34,60637,91
35,60638,91
36,60639,79
37,60640,88
38,60641,83
39,60642,92
40,60643,93
41,60643,93
42,60644,83
43,60645,85
44,60646,94
45,60647,86
46,60649,88
47,60651,83
48,60652,90
49,60653,91
50,60654,97
51,60655,97
52,60656,90
53,60657,96
54,60659,84
55,60660,87
56,60661,97
57,60666,90
58,60707,89
59,60707,89
60,60827,90
