,zip,totalPopulation
0,60601,13887
1,60602,1277
2,60603,1197
3,60604,668
4,60605,26188
5,60606,2959
6,60607,28928
7,60608,78877
8,60609,60994
9,60610,39345
10,60611,32198
11,60612,35332
12,60613,50553
13,60614,70225
14,60615,40595
15,60616,53331
16,60617,81227
17,60618,95218
18,60619,62992
19,60620,69195
20,60621,30496
21,60622,53680
22,60623,88586
23,60624,37665
24,60625,80676
25,60626,49416
26,60628,67942
27,60629,114129
28,60630,57531
29,60631,29566
30,60632,91644
31,60633,13202
32,60634,74901
33,60636,34461
34,60637,48006
35,60638,58990
36,60639,90767
37,60640,68258
38,60641,69954
39,60642,19488
40,60643,51028
41,60643,51028
42,60644,49051
43,60645,48269
44,60646,27865
45,60647,87707
46,60649,44223
47,60651,61828
48,60652,43582
49,60653,31820
50,60654,18148
51,60655,28972
52,60656,26896
53,60657,70103
54,60659,40442
55,60660,42068
56,60661,9697
57,60707,43250
58,60707,43250
59,60827,28856
60,60666,26896
