,zip,White,African American,Native Americans,Asian,Native Hawaiian,Others
0,60601,10384,1148,68,2140,0,61
1,60602,976,11,57,232,0,0
2,60603,706,27,0,413,0,0
3,60604,418,42,0,208,0,0
4,60605,15813,4631,24,4420,10,239
5,60606,2235,76,0,432,0,54
6,60607,17396,3681,30,6399,26,377
7,60608,37203,14147,529,8712,0,16759
8,60609,29002,14628,402,3755,12,11885
9,60610,28847,6720,101,2532,0,428
10,60611,24530,1069,51,5411,0,379
11,60612,9055,21980,41,1511,50,1837
12,60613,42148,2910,146,2979,3,840
13,60614,59686,3018,43,4866,30,606
14,60615,11727,22898,127,3653,0,772
15,60616,14923,13568,101,21677,0,2000
16,60617,30899,45555,97,89,17,3308
17,60618,76981,2347,146,6143,117,5959
18,60619,955,60687,20,154,20,295
19,60620,1100,66537,272,191,37,218
20,60621,605,29020,33,68,12,431
21,60622,41132,3778,144,2289,0,4462
22,60623,35630,28401,233,96,0,23199
23,60624,1320,34773,19,108,22,1169
24,60625,53120,3981,112,11272,41,8098
25,60626,29833,12193,73,2801,6,2773
26,60628,2889,63906,48,154,10,372
27,60629,43074,22536,367,463,8,45389
28,60630,41735,853,102,6893,0,4976
29,60631,26682,295,11,778,17,716
30,60632,46484,1617,1082,4913,15,35692
31,60633,9553,2861,21,45,0,636
32,60634,60005,1086,204,3921,45,8198
33,60636,937,31378,18,106,8,1404
34,60637,7646,36821,228,2069,0,253
35,60638,43130,1984,179,380,0,11042
36,60639,33698,12024,221,1325,37,41254
37,60640,44210,11877,310,7574,47,2259
38,60641,46882,1685,250,3268,86,14664
39,60642,13781,1756,0,1261,0,1815
40,60643,11458,37272,66,147,0,510
41,60643,11458,37272,66,147,0,510
42,60644,1921,45059,60,34,60,1543
43,60645,27541,8528,189,8071,0,1923
44,60646,23611,246,6,2713,0,745
45,60647,66653,5901,294,2678,42,9006
46,60649,1595,41337,131,270,0,260
47,60651,9164,32826,147,310,0,17775
48,60652,11459,20510,133,325,12,9717
49,60653,1747,28674,64,452,9,276
50,60654,14358,833,52,2194,0,139
51,60655,25846,2031,24,493,0,245
52,60656,22794,246,54,1655,25,1175
53,60657,60743,2021,98,4665,11,512
54,60659,22090,3428,242,10978,0,1961
55,60660,28647,5517,147,5038,6,1373
56,60661,5816,398,0,3198,0,16
57,60666,22794,246,54,1655,25,1175
58,60707,31485,3834,164,1513,0,5127
59,60707,31485,3834,164,1513,0,5127
60,60827,1409,26341,22,42,0,456
