,ZIP,long,lat
0,60601,-87.622129,41.88531
1,60602,-87.629149,41.883073
2,60603,-87.625509,41.880188
3,60604,-87.628461,41.878095
4,60605,-87.617228,41.867566
5,60606,-87.637349,41.882066
6,60607,-87.651596,41.874932
7,60608,-87.672388,41.846223
8,60609,-87.656935,41.81268
9,60610,-87.631939,41.906844
10,60611,-87.613775,41.8957
11,60612,-87.687749,41.88032
12,60613,-87.654272,41.956949
13,60614,-87.649577,41.922714
14,60615,-87.596288,41.801647
15,60616,-87.624032,41.844883
16,60617,-87.552739,41.718197
17,60618,-87.702548,41.946962
18,60619,-87.605526,41.74369
19,60620,-87.652558,41.740497
20,60621,-87.639571,41.776382
21,60622,-87.683337,41.902172
22,60623,-87.717661,41.848897
23,60624,-87.724444,41.880504
24,60625,-87.700351,41.973292
25,60626,-87.667095,42.010019
26,60628,-87.615773,41.690875
27,60629,-87.711496,41.775868
28,60630,-87.756569,41.972071
29,60631,-87.813003,41.994855
30,60632,-87.713252,41.810166
31,60633,-87.56147,41.663809
32,60634,-87.806117,41.946189
33,60636,-87.669064,41.775739
34,60637,-87.599876,41.781621
35,60638,-87.770534,41.781442
36,60639,-87.756056,41.920553
37,60640,-87.662604,41.972872
38,60641,-87.746787,41.946606
39,60642,-87.658544,41.902042
40,60643,-87.663267,41.700273
41,60643,-87.663267,41.700273
42,60644,-87.756373,41.880084
43,60645,-87.694735,42.008558
44,60646,-87.759627,41.993019
45,60647,-87.701028,41.921215
46,60649,-87.565879,41.76342
47,60651,-87.74085,41.902095
48,60652,-87.714807,41.74794
49,60653,-87.605984,41.819962
50,60654,-87.637271,41.892289
51,60655,-87.703779,41.694781
52,60656,-87.827131,41.97628
53,60657,-87.646857,41.940293
54,60659,-87.703986,41.991488
55,60660,-87.663076,41.99111
56,60661,-87.644098,41.883026
57,60666,-87.899723,41.977226
58,60707,-87.794282,41.921854
59,60827,-87.605526,41.649434
