REGION,PROVINCE,DISTRICT,CAPITAL,POVERTY_INDICATOR,POPULATION,NUMBER_OF_PROVINCES,NUMBER_OF_DISTRICTS,NUMBER_OF_VOTERS,PROVINCE_ALDERMEN,PROVINCE_COUNCILMEN,DISTRICT_ALDERMEN,DISTRICT_COUNCILMEN
Departamento,Provincia,Distrito,Capital,Indicador de pobreza,Población,N° Provincias,N° Distritos,Electores,Alcaldes provinciales,Regidores provinciales,Alcaldes distritales,Regidores distritales
NACION,,,LIMA,,"32,162,184",196,"1,676","23,375,001",196,"1,764","1,678","8,950"
AMAZONAS,,,CHACHAPOYAS,,"425,829",7,77,"291,920",7,61,77,387
AMAZONAS,CHACHAPOYAS,,CHACHAPOYAS,,"55,580",1,20,"38,713",1,9,20,100
AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,CHACHAPOYAS,NO POBRE,"29,258",0,1,"19,196",0,0,0,0
AMAZONAS,CHACHAPOYAS,ASUNCION,ASUNCION,POBRE NO EXTREMO,287,0,1,288,0,0,1,5
AMAZONAS,CHACHAPOYAS,BALSAS,BALSAS,NO POBRE,"1,646",0,1,"1,012",0,0,1,5
AMAZONAS,CHACHAPOYAS,CHETO,CHETO,NO POBRE,589,0,1,564,0,0,1,5
AMAZONAS,CHACHAPOYAS,CHILIQUIN,CHILIQUIN,POBRE NO EXTREMO,677,0,1,717,0,0,1,5
AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,CHUQUIBAMBA,POBRE NO EXTREMO,"2,056",0,1,"1,490",0,0,1,5
AMAZONAS,CHACHAPOYAS,GRANADA,GRANADA,NO POBRE,375,0,1,421,0,0,1,5
AMAZONAS,CHACHAPOYAS,HUANCAS,HUANCAS,NO POBRE,"1,334",0,1,402,0,0,1,5
AMAZONAS,CHACHAPOYAS,LA JALCA,LA JALCA,POBRE EXTREMO,"5,501",0,1,"3,742",0,0,1,5
AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,LEIMEBAMBA,NO POBRE,"4,200",0,1,"2,535",0,0,1,5
AMAZONAS,CHACHAPOYAS,LEVANTO,LEVANTO,NO POBRE,855,0,1,887,0,0,1,5
AMAZONAS,CHACHAPOYAS,MAGDALENA,MAGDALENA,NO POBRE,775,0,1,710,0,0,1,5
AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,DURAZNOPAMPA,NO POBRE,976,0,1,830,0,0,1,5
AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,MOLINOPAMPA,NO POBRE,"2,746",0,1,"1,766",0,0,1,5
AMAZONAS,CHACHAPOYAS,MONTEVIDEO,MONTEVIDEO,NO POBRE,564,0,1,599,0,0,1,5
AMAZONAS,CHACHAPOYAS,OLLEROS,OLLEROS,POBRE NO EXTREMO,360,0,1,359,0,0,1,5
AMAZONAS,CHACHAPOYAS,QUINJALCA,QUINJALCA,POBRE NO EXTREMO,821,0,1,799,0,0,1,5
AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,DAGUAS,NO POBRE,351,0,1,297,0,0,1,5
AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,MAINO,NO POBRE,700,0,1,518,0,0,1,5
AMAZONAS,CHACHAPOYAS,SOLOCO,SOLOCO,NO POBRE,"1,292",0,1,"1,275",0,0,1,5
AMAZONAS,CHACHAPOYAS,SONCHE,SAN JUAN DE SONCHE,NO POBRE,217,0,1,306,0,0,1,5
AMAZONAS,BAGUA,,BAGUA,,"77,102",1,5,"58,755",1,9,5,25
AMAZONAS,BAGUA,LA PECA,LA PECA,NO POBRE,"8,040",0,1,"8,271",0,0,1,5
AMAZONAS,BAGUA,ARAMANGO,ARAMANGO,NO POBRE,"10,875",0,1,"8,487",0,0,1,5
AMAZONAS,BAGUA,COPALLIN,COPALLIN,NO POBRE,"6,299",0,1,"4,171",0,0,1,5
AMAZONAS,BAGUA,EL PARCO,EL PARCO,NO POBRE,"1,493",0,1,"1,348",0,0,1,5
AMAZONAS,BAGUA,BAGUA,BAGUA (BAGUA CHICA),NO POBRE,"26,064",0,1,"16,967",0,0,0,0
AMAZONAS,BAGUA,IMAZA,CHIRIACO,POBRE EXTREMO,"24,331",0,1,"19,511",0,0,1,5
AMAZONAS,BONGARA,,JUMBILLA,,"34,491",1,11,"20,249",1,7,11,55
AMAZONAS,BONGARA,JUMBILLA,JUMBILLA,NO POBRE,"1,765",0,1,849,0,0,0,0
AMAZONAS,BONGARA,COROSHA,COROSHA,NO POBRE,"1,051",0,1,645,0,0,1,5
AMAZONAS,BONGARA,CUISPES,CUISPES,NO POBRE,899,0,1,609,0,0,1,5
AMAZONAS,BONGARA,CHISQUILLA,CHISQUILLA,NO POBRE,334,0,1,383,0,0,1,5
