ELECTION_PROCESS,ELECTION_TYPE,YEAR,ZIP_CODE,REGION,PROVINCE,DISTRICT,POLITICAL_ORGANIZATION,POLITICAL_ORGANIZATION_TYPE,VOTES_OBTAINED,TOTAL_VOTES,VOTES_NOT_OBTAINED,
Proceso electoral,Tipo de elección,Año,Ubigeo,Departamento,Provincia,Distrito,Organización politica,Tipo de Organización politica,Votos obtenidos,Total Electores,Votos emitidos,
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL DISTRITAL,2014,010102,AMAZONAS,CHACHAPOYAS,ASUNCION,SENTIMIENTO AMAZONENSE REGIONAL,MOVIMIENTO REGIONAL,122,298,280,
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL DISTRITAL,2014,010102,AMAZONAS,CHACHAPOYAS,ASUNCION,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,MOVIMIENTO REGIONAL,116,298,280,
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL DISTRITAL,2014,010102,AMAZONAS,CHACHAPOYAS,ASUNCION,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,MOVIMIENTO REGIONAL,14,298,280,
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL DISTRITAL,2014,010102,AMAZONAS,CHACHAPOYAS,ASUNCION,OBRAS POR AMAZONAS,MOVIMIENTO REGIONAL,11,298,280,
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL DISTRITAL,2014,010102,AMAZONAS,CHACHAPOYAS,ASUNCION,VOTOS EN BLANCO,,12,298,280,
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL DISTRITAL,2014,010102,AMAZONAS,CHACHAPOYAS,ASUNCION,VOTOS NULOS,,5,298,280,
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL DISTRITAL,2014,010103,AMAZONAS,CHACHAPOYAS,BALSAS,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,MOVIMIENTO REGIONAL,207,960,778,
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL DISTRITAL,2014,010103,AMAZONAS,CHACHAPOYAS,BALSAS,SENTIMIENTO AMAZONENSE REGIONAL,MOVIMIENTO REGIONAL,147,960,778,
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL DISTRITAL,2014,010103,AMAZONAS,CHACHAPOYAS,BALSAS,UNIDAD Y DEMOCRACIA DE AMAZONAS,MOVIMIENTO REGIONAL,145,960,778,
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL DISTRITAL,2014,010103,AMAZONAS,CHACHAPOYAS,BALSAS,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,MOVIMIENTO REGIONAL,79,960,778,
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL DISTRITAL,2014,010103,AMAZONAS,CHACHAPOYAS,BALSAS,ALIANZA PARA EL PROGRESO,PARTIDO POLÍTICO,60,960,778,
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL DISTRITAL,2014,010103,AMAZONAS,CHACHAPOYAS,BALSAS,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,MOVIMIENTO REGIONAL,46,960,778,
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL DISTRITAL,2014,010103,AMAZONAS,CHACHAPOYAS,BALSAS,OBRAS POR AMAZONAS,MOVIMIENTO REGIONAL,28,960,778,
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL DISTRITAL,2014,010103,AMAZONAS,CHACHAPOYAS,BALSAS,VOTOS EN BLANCO,,32,960,778,
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL DISTRITAL,2014,010103,AMAZONAS,CHACHAPOYAS,BALSAS,VOTOS NULOS,,34,960,778,
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL DISTRITAL,2014,010104,AMAZONAS,CHACHAPOYAS,CHETO,SENTIMIENTO AMAZONENSE REGIONAL,MOVIMIENTO REGIONAL,265,546,507,
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL DISTRITAL,2014,010104,AMAZONAS,CHACHAPOYAS,CHETO,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,MOVIMIENTO REGIONAL,219,546,507,
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL DISTRITAL,2014,010104,AMAZONAS,CHACHAPOYAS,CHETO,VOTOS EN BLANCO,,18,546,507,
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL DISTRITAL,2014,010104,AMAZONAS,CHACHAPOYAS,CHETO,VOTOS NULOS,,5,546,507,
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL DISTRITAL,2014,010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,MOVIMIENTO REGIONAL,207,755,618,
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL DISTRITAL,2014,010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,MOVIMIENTO REGIONAL,181,755,618,
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL DISTRITAL,2014,010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,SENTIMIENTO AMAZONENSE REGIONAL,MOVIMIENTO REGIONAL,154,755,618,
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL DISTRITAL,2014,010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,VOTOS EN BLANCO,,52,755,618,
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL DISTRITAL,2014,010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,VOTOS NULOS,,24,755,618,
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL DISTRITAL,2014,010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,ALIANZA PARA EL PROGRESO,PARTIDO POLÍTICO,313,"1,355","1,062",
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL DISTRITAL,2014,010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,MOVIMIENTO REGIONAL,306,"1,355","1,062",
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL DISTRITAL,2014,010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,SENTIMIENTO AMAZONENSE REGIONAL,MOVIMIENTO REGIONAL,151,"1,355","1,062",
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL DISTRITAL,2014,010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,MOVIMIENTO REGIONAL,130,"1,355","1,062",
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL DISTRITAL,2014,010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,MOVIMIENTO REGIONAL,35,"1,355","1,062",
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL DISTRITAL,2014,010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,OBRAS POR AMAZONAS,MOVIMIENTO REGIONAL,2,"1,355","1,062",
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL DISTRITAL,2014,010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,VOTOS EN BLANCO,,85,"1,355","1,062",
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL DISTRITAL,2014,010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,VOTOS NULOS,,40,"1,355","1,062",
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL DISTRITAL,2014,010107,AMAZONAS,CHACHAPOYAS,GRANADA,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,MOVIMIENTO REGIONAL,142,406,362,
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL DISTRITAL,2014,010107,AMAZONAS,CHACHAPOYAS,GRANADA,SENTIMIENTO AMAZONENSE REGIONAL,MOVIMIENTO REGIONAL,106,406,362,
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL DISTRITAL,2014,010107,AMAZONAS,CHACHAPOYAS,GRANADA,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,MOVIMIENTO REGIONAL,93,406,362,
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL DISTRITAL,2014,010107,AMAZONAS,CHACHAPOYAS,GRANADA,VOTOS EN BLANCO,,16,406,362,
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL DISTRITAL,2014,010107,AMAZONAS,CHACHAPOYAS,GRANADA,VOTOS NULOS,,5,406,362,
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL DISTRITAL,2014,010108,AMAZONAS,CHACHAPOYAS,HUANCAS,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,MOVIMIENTO REGIONAL,77,398,344,
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL DISTRITAL,2014,010108,AMAZONAS,CHACHAPOYAS,HUANCAS,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,MOVIMIENTO REGIONAL,67,398,344,
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL DISTRITAL,2014,010108,AMAZONAS,CHACHAPOYAS,HUANCAS,TODOS SOMOS AMAZONAS,ALIANZA ELECTORAL,51,398,344,
