ELECTION_PROCESS,ELECTION_TYPE,YEAR,ZIP_CODE,REGION,PROVINCE,DISTRICT,POLITICAL_ORGANIZATION,POLITICAL_ORGANIZATION_TYPE,VOTES_OBTAINED,TOTAL_VOTES,VOTES_NOT_OBTAINED
Proceso electoral,Tipo de elección,Año,Ubigeo,Departamento,Provincia,Distrito,Organización politica,Tipo de Organización politica,Votos obtenidos,Total Electores,Votos emitidos
ELECCIONES REGIONALES Y MUNICIPALES 2006,REGIONAL,2006,010000,AMAZONAS,,,FUERZA DEMOCRATICA,PARTIDO POLÍTICO,"37,315","188,841","156,656"
ELECCIONES REGIONALES Y MUNICIPALES 2006,REGIONAL,2006,010000,AMAZONAS,,,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,MOVIMIENTO REGIONAL,"28,773","188,841","156,656"
ELECCIONES REGIONALES Y MUNICIPALES 2006,REGIONAL,2006,010000,AMAZONAS,,,ACCION POPULAR,PARTIDO POLÍTICO,"25,650","188,841","156,656"
ELECCIONES REGIONALES Y MUNICIPALES 2006,REGIONAL,2006,010000,AMAZONAS,,,PARTIDO NACIONALISTA PERUANO,PARTIDO POLÍTICO,"18,434","188,841","156,656"
ELECCIONES REGIONALES Y MUNICIPALES 2006,REGIONAL,2006,010000,AMAZONAS,,,PARTIDO APRISTA PERUANO,PARTIDO POLÍTICO,"18,197","188,841","156,656"
ELECCIONES REGIONALES Y MUNICIPALES 2006,REGIONAL,2006,010000,AMAZONAS,,,AGRUPACION INDEPENDIENTE SI CUMPLE,PARTIDO POLÍTICO,"10,854","188,841","156,656"
ELECCIONES REGIONALES Y MUNICIPALES 2006,REGIONAL,2006,010000,AMAZONAS,,,VOTOS EN BLANCO,,"7,987","188,841","156,656"
ELECCIONES REGIONALES Y MUNICIPALES 2006,REGIONAL,2006,010000,AMAZONAS,,,VOTOS NULOS,,"9,446","188,841","156,656"
ELECCIONES REGIONALES Y MUNICIPALES 2006,REGIONAL,2006,020000,ANCASH,,,MOVIMIENTO REGIONAL INDEPENDIENTE CUENTA CONMIGO,MOVIMIENTO REGIONAL,"131,463","635,438","554,708"
ELECCIONES REGIONALES Y MUNICIPALES 2006,REGIONAL,2006,020000,ANCASH,,,PARTIDO APRISTA PERUANO,PARTIDO POLÍTICO,"81,596","635,438","554,708"
ELECCIONES REGIONALES Y MUNICIPALES 2006,REGIONAL,2006,020000,ANCASH,,,RESURGIMIENTO PERUANO,PARTIDO POLÍTICO,"68,050","635,438","554,708"
ELECCIONES REGIONALES Y MUNICIPALES 2006,REGIONAL,2006,020000,ANCASH,,,MOVIMIENTO INDEPENDIENTE REGIONAL RIO SANTA CAUDALOSO,MOVIMIENTO REGIONAL,"51,215","635,438","554,708"
ELECCIONES REGIONALES Y MUNICIPALES 2006,REGIONAL,2006,020000,ANCASH,,,ALIANZA REGIONAL ANCASH,ALIANZA ELECTORAL,"31,975","635,438","554,708"
ELECCIONES REGIONALES Y MUNICIPALES 2006,REGIONAL,2006,020000,ANCASH,,,ALIANZA PARA EL PROGRESO,PARTIDO POLÍTICO,"22,653","635,438","554,708"
ELECCIONES REGIONALES Y MUNICIPALES 2006,REGIONAL,2006,020000,ANCASH,,,UNION POR EL PERU,PARTIDO POLÍTICO,"20,501","635,438","554,708"
ELECCIONES REGIONALES Y MUNICIPALES 2006,REGIONAL,2006,020000,ANCASH,,,PARTIDO NACIONALISTA PERUANO,PARTIDO POLÍTICO,"17,359","635,438","554,708"
ELECCIONES REGIONALES Y MUNICIPALES 2006,REGIONAL,2006,020000,ANCASH,,,MOVIMIENTO ACCION NACIONALISTA PERUANO,MOVIMIENTO REGIONAL,"10,326","635,438","554,708"
ELECCIONES REGIONALES Y MUNICIPALES 2006,REGIONAL,2006,020000,ANCASH,,,ACCION POPULAR,PARTIDO POLÍTICO,"9,146","635,438","554,708"
ELECCIONES REGIONALES Y MUNICIPALES 2006,REGIONAL,2006,020000,ANCASH,,,"MOVIMIENTO INDEPENDIENTE NUEVA ESPERANZA REGIONAL ANCASHINA ""NUEVA ERA""",MOVIMIENTO REGIONAL,"8,557","635,438","554,708"
