ELECTION_PROCESS,YEAR,ZIP_CODE,REGION,PROVINCE,DISTRICT,TOTAL_VOTERS,MALE_VOTERS,FEMALE_VOTERS,UNDER_18,AGE_18_TO_20,AGE_21_TO_29,AGE_30_TO_35,AGE_36_TO_50,AGE_51_TO_75,OVER_75,INITIAL_EDUCATION,PRIMARY_EDUCATION,SECONDARY_EDUCATION,UNIVERSITY_EDUCATION,TECHNICAL_EDUCATION,SPECIAL_EDUCATION,NO_EDUCATION,DISABILITIES
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,"17,085","7,985","9,100",0,"1,392","4,010","2,347","4,791","3,810",735,1,"3,641","10,070","2,452",246,13,662,69
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010102,AMAZONAS,CHACHAPOYAS,ASUNCION,298,140,158,0,17,42,50,95,80,14,0,125,130,25,5,0,13,1
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010103,AMAZONAS,CHACHAPOYAS,BALSAS,960,544,416,0,73,227,134,278,219,29,0,498,328,20,5,0,109,0
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010104,AMAZONAS,CHACHAPOYAS,CHETO,546,279,267,0,43,91,75,171,128,38,0,322,163,8,0,0,53,3
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,755,404,351,0,60,186,105,202,171,31,0,458,222,6,3,0,66,5
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,"1,355",718,637,0,122,259,180,371,329,94,0,677,536,55,3,0,84,2
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010107,AMAZONAS,CHACHAPOYAS,GRANADA,406,208,198,0,31,101,69,115,67,23,0,203,157,6,0,0,40,0
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010108,AMAZONAS,CHACHAPOYAS,HUANCAS,398,183,215,0,25,62,57,106,116,32,0,177,168,14,1,0,38,1
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010109,AMAZONAS,CHACHAPOYAS,LA JALCA,"3,255","1,619","1,636",0,321,841,472,847,661,113,0,"1,748","1,022",29,1,1,454,7
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,"2,468","1,260","1,208",0,155,501,310,705,638,159,0,"1,129",953,120,21,1,244,14
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010111,AMAZONAS,CHACHAPOYAS,LEVANTO,866,432,434,0,62,198,128,242,186,50,0,482,286,6,1,2,89,5
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010112,AMAZONAS,CHACHAPOYAS,MAGDALENA,665,314,351,0,63,119,72,179,166,66,0,275,302,29,3,1,55,2
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,838,411,427,0,64,125,101,236,259,53,0,401,342,27,2,0,66,0
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,"1,558",762,796,0,121,286,221,519,336,75,0,747,582,58,7,0,164,8
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,604,312,292,0,39,127,67,177,152,42,0,211,338,31,2,0,22,1
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010116,AMAZONAS,CHACHAPOYAS,OLLEROS,339,168,171,0,22,71,48,96,84,18,0,164,139,3,1,0,32,0
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010117,AMAZONAS,CHACHAPOYAS,QUINJALCA,888,436,452,0,90,204,119,237,194,44,0,467,326,16,4,0,75,1
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,336,164,172,0,14,62,42,92,107,19,0,137,146,24,7,0,22,1
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,491,251,240,0,27,120,67,130,124,23,0,303,128,14,0,0,46,1
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010120,AMAZONAS,CHACHAPOYAS,SOLOCO,"1,253",644,609,0,86,285,155,336,303,88,0,617,481,25,4,0,126,2
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010121,AMAZONAS,CHACHAPOYAS,SONCHE,302,155,147,0,22,64,43,97,62,14,0,172,98,5,0,0,27,1
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010201,AMAZONAS,BAGUA,LA PECA,"8,814","4,863","3,951",0,529,"1,955","1,254","2,509","2,066",501,0,"3,132","4,431",345,53,4,849,19
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010202,AMAZONAS,BAGUA,ARAMANGO,"7,919","4,392","3,527",0,762,"1,951","1,097","2,327","1,524",258,0,"3,920","3,136",91,10,0,762,9
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010203,AMAZONAS,BAGUA,COPALLIN,"4,124","2,200","1,924",0,261,927,631,"1,155",987,163,0,"1,803","1,750",70,12,0,489,11
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010204,AMAZONAS,BAGUA,EL PARCO,"1,368",748,620,0,93,300,228,380,309,58,0,498,697,43,6,0,124,1
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010205,AMAZONAS,BAGUA,BAGUA,"14,564","6,996","7,568",0,"1,461","3,336","1,860","4,265","3,226",416,0,"3,415","8,741","1,454",149,2,803,49
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010206,AMAZONAS,BAGUA,IMAZA,"15,107","8,119","6,988",0,"1,706","4,419","2,238","4,085","2,430",229,0,"6,337","6,771",154,9,0,"1,836",15
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010301,AMAZONAS,BONGARA,JUMBILLA,777,357,420,0,58,135,80,205,248,51,0,339,334,50,8,0,46,0
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010302,AMAZONAS,BONGARA,COROSHA,624,321,303,0,66,165,93,174,107,19,0,357,195,15,3,0,54,0
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010303,AMAZONAS,BONGARA,CUISPES,644,325,319,0,41,139,94,201,148,21,0,371,207,10,1,0,55,0
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010304,AMAZONAS,BONGARA,CHISQUILLA,396,219,177,0,22,100,52,112,101,9,0,192,176,12,3,0,13,1
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010305,AMAZONAS,BONGARA,CHURUJA,369,200,169,0,21,64,38,117,93,36,0,163,145,13,4,0,44,0
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010306,AMAZONAS,BONGARA,FLORIDA,"3,913","1,983","1,930",0,350,903,513,"1,186",807,154,0,"1,901","1,464",82,11,0,455,5
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010307,AMAZONAS,BONGARA,RECTA,408,222,186,0,29,94,55,124,86,20,0,201,173,17,5,0,12,0
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010308,AMAZONAS,BONGARA,SAN CARLOS,425,206,219,0,25,72,47,126,118,37,0,224,150,18,5,0,28,0
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010309,AMAZONAS,BONGARA,SHIPASBAMBA,"1,182",648,534,0,87,290,177,323,271,34,0,648,417,20,2,0,95,0
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010310,AMAZONAS,BONGARA,VALERA,880,464,416,0,56,187,113,232,234,58,0,533,273,16,1,0,57,1
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010311,AMAZONAS,BONGARA,YAMBRASBAMBA,"3,998","2,109","1,889",0,397,"1,094",588,"1,071",741,107,0,"1,994","1,458",43,3,0,500,2
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010312,AMAZONAS,BONGARA,JAZAN,"5,371","2,697","2,674",0,494,"1,155",634,"1,520","1,288",280,0,"2,190","2,487",289,57,1,347,4
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010401,AMAZONAS,LUYA,LAMUD,"1,605",722,883,0,110,247,153,410,491,194,0,530,757,112,22,2,182,9
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010402,AMAZONAS,LUYA,CAMPORREDONDO,"3,773","2,000","1,773",0,333,837,547,"1,075",829,152,0,"1,638","1,513",87,3,0,532,6
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010403,AMAZONAS,LUYA,COCABAMBA,"1,321",722,599,0,131,329,203,341,278,39,0,867,263,9,0,0,182,2
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010404,AMAZONAS,LUYA,COLCAMAR,"1,628",805,823,0,161,314,193,417,445,98,0,840,529,23,2,0,234,2
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010405,AMAZONAS,LUYA,CONILA,"1,400",717,683,0,118,288,186,361,347,100,0,742,470,13,4,0,171,1
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010406,AMAZONAS,LUYA,INGUILPATA,522,269,253,0,28,92,62,127,163,50,0,259,206,17,1,0,39,0
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010407,AMAZONAS,LUYA,LONGUITA,736,380,356,0,81,176,107,178,157,37,0,366,273,24,3,0,70,2
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010408,AMAZONAS,LUYA,LONYA CHICO,788,400,388,0,69,138,93,220,203,65,0,414,292,13,5,0,64,0
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010409,AMAZONAS,LUYA,LUYA,"2,691","1,273","1,418",0,246,559,291,709,666,220,0,"1,172","1,063",133,11,1,311,7
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010410,AMAZONAS,LUYA,LUYA VIEJO,315,152,163,0,30,69,44,86,69,17,0,157,109,3,0,0,46,2
