ELECTION_PROCESS,YEAR,ZIP_CODE,REGION,PROVINCE,DISTRICT,TOTAL_VOTERS,MALE_VOTERS,FEMALE_VOTERS,UNDER_18,AGE_18_TO_20,AGE_21_TO_29,AGE_30_TO_35,AGE_36_TO_50,AGE_51_TO_75,OVER_75,INITIAL_EDUCATION,PRIMARY_EDUCATION,SECONDARY_EDUCATION,UNIVERSITY_EDUCATION,TECHNICAL_EDUCATION,SPECIAL_EDUCATION,NO_EDUCATION,DISABILITIES
ELECCIONES REGIONALES Y MUNICIPALES 2018,2018,200904,PUNO,SAN ROMAN,CARACOTO,7832,3671,4161,0,460,1451,1027,2315,2144,435,1,2148,4268,283,41,0,1091,32,0,11,5,7784
ELECCIONES REGIONALES Y MUNICIPALES 2019,2019,130106,LAMBAYEQUE,CHICLAYO,MONSEFU,26934,12832,14102,2,1982,6068,3428,7308,6876,1270,1,8852,14540,952,92,5,2492,36,17,23,40,26818
ELECCIONES REGIONALES Y MUNICIPALES 2020,2020,030310,APURIMAC,ANDAHUAYLAS,SAN JERONIMO,14079,6692,7387,0,1302,3780,1912,3707,2787,591,2,2897,7772,784,71,0,2553,71,6,12,16,13974
ELECCIONES REGIONALES Y MUNICIPALES 2021,2021,140113,LIMA,LIMA,LURIN,58888,30315,28573,0,4168,15157,9266,16722,11922,1653,11,9560,43315,3549,924,57,1472,94,72,14,58,58650
ELECCIONES REGIONALES Y MUNICIPALES 2022,2022,130305,LAMBAYEQUE,LAMBAYEQUE,MOCHUMI,14498,7187,7311,0,1047,3194,1871,3878,3709,799,1,4996,8258,384,75,1,783,17,20,13,39,14409
ELECCIONES REGIONALES Y MUNICIPALES 2023,2023,210403,SAN MARTIN,MARISCAL CACERES,HUICUNGO,5973,3287,2686,0,503,1381,840,1697,1372,180,1,3098,2268,73,9,0,524,8,1,10,13,5941
ELECCIONES REGIONALES Y MUNICIPALES 2024,2024,100103,ICA,ICA,LOS AQUIJES,12052,6089,5963,0,782,2724,1747,3330,2843,626,1,1870,8828,914,93,9,337,24,10,5,13,12000
ELECCIONES REGIONALES Y MUNICIPALES 2025,2025,070302,CUSCO,ANTA,CHINCHAYPUJIO,4200,2157,2043,0,324,971,437,1004,1173,291,0,1231,1910,79,14,0,966,2,3,0,3,4192
ELECCIONES REGIONALES Y MUNICIPALES 2026,2026,021306,ANCASH,SANTA,SAMANCO,3664,1912,1752,0,215,764,539,993,973,180,3,921,2394,110,16,2,218,9,9,4,10,3632
ELECCIONES REGIONALES Y MUNICIPALES 2027,2027,200504,PUNO,HUANCANE,INCHUPALLA,2940,1477,1463,0,196,550,347,786,852,209,0,746,1694,94,5,0,401,3,0,1,0,2936
