ELECTION_PROCESS,ELECTION_TYPE,YEAR,ZIP_CODE,REGION,PROVINCE,DISTRICT,POLITICAL_ORGANIZATION,POLITICAL_ORGANIZATION_TYPE,VOTES_OBTAINED,TOTAL_VOTES,VOTES_NOT_OBTAINED,
,,,,,,,,,,,,
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,010000,AMAZONAS,,,SENTIMIENTO AMAZONENSE REGIONAL,MOVIMIENTO REGIONAL,"53,831","261,856","211,175",
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,020000,ANCASH,,,MOVIMIENTO REGIONAL ANDE - MAR,MOVIMIENTO REGIONAL,"96,006","817,621","678,783",
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,030000,APURIMAC,,,MOVIMIENTO POPULAR KALLPA,MOVIMIENTO REGIONAL,"48,301","277,161","224,286",
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,040000,AREQUIPA,,,AREQUIPA RENACE,MOVIMIENTO REGIONAL,"151,075","997,237","863,193",
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,050000,AYACUCHO,,,ALIANZA RENACE AYACUCHO,MOVIMIENTO REGIONAL,"87,364","409,671","329,045",
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,060000,CAJAMARCA,,,MOVIMIENTO DE AFIRMACION SOCIAL,MOVIMIENTO REGIONAL,"288,432","992,516","822,397",
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,240000,CALLAO,,,CHIMPUM CALLAO,ALIANZA ELECTORAL,"200,082","712,595","601,492",
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,070000,CUSCO,,,MOVIMIENTO REGIONAL ACUERDO POPULAR UNIFICADO,MOVIMIENTO REGIONAL,"138,688","880,889","739,047",
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,080000,HUANCAVELICA,,,MOVIMIENTO INDEPENDIENTE REGIONAL AYLLU,MOVIMIENTO REGIONAL,"57,663","274,992","225,309",
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,090000,HUANUCO,,,MOVIMIENTO INTEGRACION DESCENTRALISTA,MOVIMIENTO REGIONAL,"99,389","509,995","404,354",
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,100000,ICA,,,FUERZA POPULAR,PARTIDO POLÍTICO,"105,435","563,023","494,846",
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,110000,JUNIN,,,JUNIN SOSTENIBLE CON SU GENTE,MOVIMIENTO REGIONAL,"167,249","852,094","686,172",
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,120000,LA LIBERTAD,,,ALIANZA PARA EL PROGRESO,PARTIDO POLÍTICO,"380,875","1,248,026","1,045,062",
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,130000,LAMBAYEQUE,,,ALIANZA PARA EL PROGRESO,PARTIDO POLÍTICO,"203,536","858,177","720,520",
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,140000,LIMA,,,CONCERTACION PARA EL DESARROLLO REGIONAL - LIMA,MOVIMIENTO REGIONAL,"93,607","678,480","583,397",
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,150000,LORETO,,,MOVIMIENTO INTEGRACION LORETANA,MOVIMIENTO REGIONAL,"164,210","615,249","470,417",
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,160000,MADRE DE DIOS,,,DEMOCRACIA DIRECTA,PARTIDO POLÍTICO,"19,003","90,542","74,236",
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,170000,MOQUEGUA,,,KAUSACHUN,MOVIMIENTO REGIONAL,"46,975","130,067","113,769",
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,180000,PASCO,,,FUERZA POPULAR,PARTIDO POLÍTICO,"28,090","183,296","149,363",
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,190000,PIURA,,,UNION DEMOCRATICA DEL NORTE,MOVIMIENTO REGIONAL,"298,688","1,226,898","1,049,340",
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,200000,PUNO,,,PROYECTO DE LA INTEGRACION PARA LA COOPERACION,MOVIMIENTO REGIONAL,"174,395","841,046","733,831",
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,210000,SAN MARTIN,,,PARTIDO APRISTA PERUANO,PARTIDO POLÍTICO,"74,176","545,521","450,736",
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,220000,TACNA,,,MOVIMIENTO CIVICO PERUANO,MOVIMIENTO REGIONAL,"34,058","246,256","212,952",
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,230000,TUMBES,,,RECONSTRUCCION CON OBRAS MAS OBRAS PARA UN TUMBES BELLO,MOVIMIENTO REGIONAL,"24,972","152,314","130,020",
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,250000,UCAYALI,,,MOVIMIENTO INDEPENDIENTE REGIONAL CAMBIO UCAYALINO,MOVIMIENTO REGIONAL,"79,510","319,790","252,559",
