ELECTION_PROCESS,ELECTION_TYPE,YEAR,ZIP_CODE,REGION,PROVINCE,DISTRICT,POLITICAL_ORGANIZATION,POLITICAL_ORGANIZATION_TYPE,VOTES_OBTAINED,TOTAL_VOTES,VOTES_NOT_OBTAINED,
Proceso electoral,Tipo de elección,Año,Ubigeo,Departamento,Provincia,Distrito,Organización politica,Tipo de Organización politica,Votos obtenidos,Total Electores,Votos emitidos,
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL PROVINCIAL,2014,010100,AMAZONAS,CHACHAPOYAS,,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,MOVIMIENTO REGIONAL,"9,668","35,666","29,156",
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL PROVINCIAL,2014,010100,AMAZONAS,CHACHAPOYAS,,SENTIMIENTO AMAZONENSE REGIONAL,MOVIMIENTO REGIONAL,"5,649","35,666","29,156",
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL PROVINCIAL,2014,010100,AMAZONAS,CHACHAPOYAS,,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,MOVIMIENTO REGIONAL,"3,827","35,666","29,156",
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL PROVINCIAL,2014,010100,AMAZONAS,CHACHAPOYAS,,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,MOVIMIENTO REGIONAL,"2,243","35,666","29,156",
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL PROVINCIAL,2014,010100,AMAZONAS,CHACHAPOYAS,,OBRAS POR AMAZONAS,MOVIMIENTO REGIONAL,"1,582","35,666","29,156",
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL PROVINCIAL,2014,010100,AMAZONAS,CHACHAPOYAS,,ALIANZA PARA EL PROGRESO,PARTIDO POLÍTICO,959,"35,666","29,156",
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL PROVINCIAL,2014,010100,AMAZONAS,CHACHAPOYAS,,TODOS SOMOS AMAZONAS,ALIANZA ELECTORAL,648,"35,666","29,156",
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL PROVINCIAL,2014,010100,AMAZONAS,CHACHAPOYAS,,UNIDAD Y DEMOCRACIA DE AMAZONAS,MOVIMIENTO REGIONAL,574,"35,666","29,156",
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL PROVINCIAL,2014,010100,AMAZONAS,CHACHAPOYAS,,ACCION POPULAR,PARTIDO POLÍTICO,199,"35,666","29,156",
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL PROVINCIAL,2014,010100,AMAZONAS,CHACHAPOYAS,,VOTOS EN BLANCO,,"1,706","35,666","29,156",
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL PROVINCIAL,2014,010100,AMAZONAS,CHACHAPOYAS,,VOTOS NULOS,,"2,101","35,666","29,156",
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL PROVINCIAL,2014,010200,AMAZONAS,BAGUA,,SENTIMIENTO AMAZONENSE REGIONAL,MOVIMIENTO REGIONAL,"8,626","51,896","40,033",
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL PROVINCIAL,2014,010200,AMAZONAS,BAGUA,,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,MOVIMIENTO REGIONAL,"7,018","51,896","40,033",
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL PROVINCIAL,2014,010200,AMAZONAS,BAGUA,,UNIDAD Y DEMOCRACIA DE AMAZONAS,MOVIMIENTO REGIONAL,"5,827","51,896","40,033",
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL PROVINCIAL,2014,010200,AMAZONAS,BAGUA,,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,MOVIMIENTO REGIONAL,"3,576","51,896","40,033",
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL PROVINCIAL,2014,010200,AMAZONAS,BAGUA,,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,MOVIMIENTO REGIONAL,"3,129","51,896","40,033",
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL PROVINCIAL,2014,010200,AMAZONAS,BAGUA,,TODOS SOMOS AMAZONAS,ALIANZA ELECTORAL,"2,197","51,896","40,033",
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL PROVINCIAL,2014,010200,AMAZONAS,BAGUA,,ALIANZA PARA EL PROGRESO,PARTIDO POLÍTICO,"2,006","51,896","40,033",
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL PROVINCIAL,2014,010200,AMAZONAS,BAGUA,,OBRAS POR AMAZONAS,MOVIMIENTO REGIONAL,772,"51,896","40,033",
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL PROVINCIAL,2014,010200,AMAZONAS,BAGUA,,PARTIDO POPULAR CRISTIANO - PPC,PARTIDO POLÍTICO,321,"51,896","40,033",
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL PROVINCIAL,2014,010200,AMAZONAS,BAGUA,,VOTOS EN BLANCO,,"4,262","51,896","40,033",
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL PROVINCIAL,2014,010200,AMAZONAS,BAGUA,,VOTOS NULOS,,"2,299","51,896","40,033",
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL PROVINCIAL,2014,010300,AMAZONAS,BONGARA,,OBRAS POR AMAZONAS,MOVIMIENTO REGIONAL,"4,678","18,987","15,209",
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL PROVINCIAL,2014,010300,AMAZONAS,BONGARA,,SENTIMIENTO AMAZONENSE REGIONAL,MOVIMIENTO REGIONAL,"3,928","18,987","15,209",
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL PROVINCIAL,2014,010300,AMAZONAS,BONGARA,,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,MOVIMIENTO REGIONAL,"1,892","18,987","15,209",
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL PROVINCIAL,2014,010300,AMAZONAS,BONGARA,,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,MOVIMIENTO REGIONAL,"1,642","18,987","15,209",
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL PROVINCIAL,2014,010300,AMAZONAS,BONGARA,,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,MOVIMIENTO REGIONAL,495,"18,987","15,209",
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL PROVINCIAL,2014,010300,AMAZONAS,BONGARA,,TODOS SOMOS AMAZONAS,ALIANZA ELECTORAL,287,"18,987","15,209",
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL PROVINCIAL,2014,010300,AMAZONAS,BONGARA,,UNIDAD Y DEMOCRACIA DE AMAZONAS,MOVIMIENTO REGIONAL,186,"18,987","15,209",
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL PROVINCIAL,2014,010300,AMAZONAS,BONGARA,,ALIANZA PARA EL PROGRESO,PARTIDO POLÍTICO,142,"18,987","15,209",
ELECCIONES REGIONALES Y MUNICIPALES 2014,MUNICIPAL PROVINCIAL,2014,010300,AMAZONAS,BONGARA,,VOTOS EN BLANCO,,895,"18,987","15,209",
