ELECTION_PROCESS,ELECTION_TYPE,YEAR,ZIP_CODE,REGION,PROVINCE,DISTRICT,POLITICAL_ORGANIZATION,POLITICAL_ORGANIZATION_TYPE,VOTES_OBTAINED,TOTAL_VOTES,VOTES_NOT_OBTAINED
Proceso electoral,Tipo de elección,Año,Ubigeo,Departamento,Provincia,Distrito,Organización politica,Tipo de Organización politica,Votos obtenidos,Total Electores,Votos emitidos
ELECCIONES REGIONALES Y MUNICIPALES 2006,MUNICIPAL PROVINCIAL,2006,010100,AMAZONAS,CHACHAPOYAS,,UNION POR EL PERU,PARTIDO POLÍTICO,"5,368","27,726","23,741"
ELECCIONES REGIONALES Y MUNICIPALES 2006,MUNICIPAL PROVINCIAL,2006,010100,AMAZONAS,CHACHAPOYAS,,INTEGRACION 6 DE JUNIO,MOVIMIENTO REGIONAL,"5,104","27,726","23,741"
ELECCIONES REGIONALES Y MUNICIPALES 2006,MUNICIPAL PROVINCIAL,2006,010100,AMAZONAS,CHACHAPOYAS,,PARTIDO APRISTA PERUANO,PARTIDO POLÍTICO,"3,392","27,726","23,741"
ELECCIONES REGIONALES Y MUNICIPALES 2006,MUNICIPAL PROVINCIAL,2006,010100,AMAZONAS,CHACHAPOYAS,,FUERZA DEMOCRATICA,PARTIDO POLÍTICO,"2,822","27,726","23,741"
ELECCIONES REGIONALES Y MUNICIPALES 2006,MUNICIPAL PROVINCIAL,2006,010100,AMAZONAS,CHACHAPOYAS,,ACCION POPULAR,PARTIDO POLÍTICO,"2,169","27,726","23,741"
ELECCIONES REGIONALES Y MUNICIPALES 2006,MUNICIPAL PROVINCIAL,2006,010100,AMAZONAS,CHACHAPOYAS,,PARTIDO NACIONALISTA PERUANO,PARTIDO POLÍTICO,"1,721","27,726","23,741"
ELECCIONES REGIONALES Y MUNICIPALES 2006,MUNICIPAL PROVINCIAL,2006,010100,AMAZONAS,CHACHAPOYAS,,VOTOS EN BLANCO,,"1,854","27,726","23,741"
ELECCIONES REGIONALES Y MUNICIPALES 2006,MUNICIPAL PROVINCIAL,2006,010100,AMAZONAS,CHACHAPOYAS,,VOTOS NULOS,,"1,311","27,726","23,741"
ELECCIONES REGIONALES Y MUNICIPALES 2006,MUNICIPAL PROVINCIAL,2006,010200,AMAZONAS,BAGUA,,FUERZA DEMOCRATICA,PARTIDO POLÍTICO,"9,466","38,851","31,620"
ELECCIONES REGIONALES Y MUNICIPALES 2006,MUNICIPAL PROVINCIAL,2006,010200,AMAZONAS,BAGUA,,ACCION POPULAR,PARTIDO POLÍTICO,"5,432","38,851","31,620"
ELECCIONES REGIONALES Y MUNICIPALES 2006,MUNICIPAL PROVINCIAL,2006,010200,AMAZONAS,BAGUA,,PARTIDO APRISTA PERUANO,PARTIDO POLÍTICO,"3,493","38,851","31,620"
ELECCIONES REGIONALES Y MUNICIPALES 2006,MUNICIPAL PROVINCIAL,2006,010200,AMAZONAS,BAGUA,,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,MOVIMIENTO REGIONAL,"2,916","38,851","31,620"
ELECCIONES REGIONALES Y MUNICIPALES 2006,MUNICIPAL PROVINCIAL,2006,010200,AMAZONAS,BAGUA,,PARTIDO NACIONALISTA PERUANO,PARTIDO POLÍTICO,"1,841","38,851","31,620"
ELECCIONES REGIONALES Y MUNICIPALES 2006,MUNICIPAL PROVINCIAL,2006,010200,AMAZONAS,BAGUA,,AGRUPACION INDEPENDIENTE SI CUMPLE,PARTIDO POLÍTICO,"1,348","38,851","31,620"
ELECCIONES REGIONALES Y MUNICIPALES 2006,MUNICIPAL PROVINCIAL,2006,010200,AMAZONAS,BAGUA,,UNION POR EL PERU,PARTIDO POLÍTICO,"1,035","38,851","31,620"
ELECCIONES REGIONALES Y MUNICIPALES 2006,MUNICIPAL PROVINCIAL,2006,010200,AMAZONAS,BAGUA,,PERU AHORA,PARTIDO POLÍTICO,409,"38,851","31,620"
ELECCIONES REGIONALES Y MUNICIPALES 2006,MUNICIPAL PROVINCIAL,2006,010200,AMAZONAS,BAGUA,,VOTOS EN BLANCO,,"4,000","38,851","31,620"
ELECCIONES REGIONALES Y MUNICIPALES 2006,MUNICIPAL PROVINCIAL,2006,010200,AMAZONAS,BAGUA,,VOTOS NULOS,,"1,680","38,851","31,620"
ELECCIONES REGIONALES Y MUNICIPALES 2006,MUNICIPAL PROVINCIAL,2006,010300,AMAZONAS,BONGARA,,ACCION POPULAR,PARTIDO POLÍTICO,"3,332","13,932","11,941"
ELECCIONES REGIONALES Y MUNICIPALES 2006,MUNICIPAL PROVINCIAL,2006,010300,AMAZONAS,BONGARA,,FUERZA DEMOCRATICA,PARTIDO POLÍTICO,"2,665","13,932","11,941"
ELECCIONES REGIONALES Y MUNICIPALES 2006,MUNICIPAL PROVINCIAL,2006,010300,AMAZONAS,BONGARA,,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,MOVIMIENTO REGIONAL,"1,644","13,932","11,941"
ELECCIONES REGIONALES Y MUNICIPALES 2006,MUNICIPAL PROVINCIAL,2006,010300,AMAZONAS,BONGARA,,PARTIDO APRISTA PERUANO,PARTIDO POLÍTICO,"1,181","13,932","11,941"
ELECCIONES REGIONALES Y MUNICIPALES 2006,MUNICIPAL PROVINCIAL,2006,010300,AMAZONAS,BONGARA,,VOTOS EN BLANCO,,"2,509","13,932","11,941"
ELECCIONES REGIONALES Y MUNICIPALES 2006,MUNICIPAL PROVINCIAL,2006,010300,AMAZONAS,BONGARA,,VOTOS NULOS,,610,"13,932","11,941"
ELECCIONES REGIONALES Y MUNICIPALES 2006,MUNICIPAL PROVINCIAL,2006,010400,AMAZONAS,LUYA,,ALIANZA ELECTORAL UNIDAD NACIONAL,ALIANZA ELECTORAL,"5,212","22,812","19,512"
ELECCIONES REGIONALES Y MUNICIPALES 2006,MUNICIPAL PROVINCIAL,2006,010400,AMAZONAS,LUYA,,ACCION POPULAR,PARTIDO POLÍTICO,"3,104","22,812","19,512"
ELECCIONES REGIONALES Y MUNICIPALES 2006,MUNICIPAL PROVINCIAL,2006,010400,AMAZONAS,LUYA,,PARTIDO APRISTA PERUANO,PARTIDO POLÍTICO,"2,956","22,812","19,512"
ELECCIONES REGIONALES Y MUNICIPALES 2006,MUNICIPAL PROVINCIAL,2006,010400,AMAZONAS,LUYA,,FUERZA DEMOCRATICA,PARTIDO POLÍTICO,"2,767","22,812","19,512"
